family_id	domain	name	issuer	object_type	grammar_class	regex_exactness	status	canonical_form	examples	aliases_variations	candidate_regex_python	normalization	required_context	semantic_validation	uniqueness_key_scope	privacy_class	edge_cases	source_ids	repository_ids	confidence
uspto.application_number	agency_program_technical	U.S. patent application number	U.S. Patent and Trademark Office	patent application	formal	candidate	current	Two-digit application series + slash + six-digit serial	18/123,456 | 12/345678		\b(?P<series>\d{2})/(?P<serial>\d{3},?\d{3})\b	Remove comma from serial; preserve slash.	Patent application context.	Validate in Patent Center; include filing date/type.	USPTO application namespace	mixed	Provisional, reissue, design, plant and PCT national-stage records share/relate to application number systems; unpublished applications can be confidential.	uspto_patents		high
uspto.patent_number	agency_program_technical	U.S. patent number	U.S. Patent and Trademark Office	issued patent	formal	broad	current	Utility numeric or patent-type prefix + serial	11,123,456 | US 11123456 | RE45,678 | D1,000,000 | PP35,000		(?i)\b(?:US\s*)?(?:(?P<prefix>RE|PP|D|H|T|AI|X)\s*)?(?P<number>\d{1,3}(?:,\d{3})+|\d{4,9})\b	Remove commas/spaces; uppercase type prefix.	Patent/USPTO context.	Lookup in USPTO Patent Center/search and validate patent type.	USPTO patent type + number	public	Bare utility numbers collide with ordinary numbers; early X patents and defensive/statutory series need historical handling. Kind codes belong to publications, not issued patent identity.	uspto_patents		high
uspto.ptab_aia_proceeding	agency_program_technical	PTAB AIA trial proceeding number	USPTO Patent Trial and Appeal Board	inter partes/post-grant proceeding	controlled	candidate	current	{IPR|PGR|CBM|DER}YYYY-NNNNN	IPR2024-00001 | PGR2024-00001 | CBM2020-00001 | DER2014-00001		\b(?:IPR|PGR|CBM|DER)\d{4}-\d{5}\b	Uppercase type; preserve zero padding.		Lookup in PTAB End-to-End.	PTAB proceeding namespace	public	CBM program sunset but historical dockets remain; institution/appeal papers have document numbers scoped to proceeding.	uspto_ptab		high
uspto.publication_number	agency_program_technical	U.S. patent application publication number	U.S. Patent and Trademark Office	published patent application	compound	candidate	current	US + YYYY + seven-digit publication serial + kind code	US 2024/0123456 A1 | US20240123456A1		(?i)\bUS\s*(?P<year>\d{4})\s*/?\s*(?P<serial>\d{7})\s*(?P<kind>[A-Z]\d)\b	Canonical display US YYYY/NNNNNNN KIND.		Validate publication/kind code in USPTO data.	country + publication number + kind code	public	Publication number is not the application serial number or issued patent number; republications/corrections use different kind codes.	uspto_patents		high
uspto.trademark_registration	agency_program_technical	U.S. trademark registration number	U.S. Patent and Trademark Office	registered trademark	formal	contextual	current	Numeric registration serial of variable historical length	6123456 | 123456		\b\d{5,8}\b	Remove commas; preserve source zero padding.	Registration No./trademark context.	Lookup in TSDR.	USPTO trademark registration namespace	public	Not the application serial number; old registrations have fewer digits and can be cancelled/renewed.	uspto_trademarks		high
uspto.trademark_serial	agency_program_technical	U.S. trademark application serial number	U.S. Patent and Trademark Office	trademark application	formal	contextual	current	Eight digits	97123456 | 50123456 | 79123456		\b\d{8}\b	Preserve leading zeros.	Trademark serial/TSDR context.	Lookup in USPTO TSDR; use filing basis/series metadata.	USPTO trademark serial namespace	public	The first two digits denote serial-number series; the 50 series began in 2026 and 79 is associated with Madrid filings. Bare eight digits collide widely.	uspto_trademarks		high
adjudication.asbca_number	courts_adjudication	ASBCA appeal number	Armed Services Board of Contract Appeals	contract appeal	formal	candidate	current	ASBCA + serial integer	ASBCA No. 62500 | ASBCA Nos. 62500, 62501		(?i)\bASBCA\s+Nos?\.?\s*(?P<number>\d{4,6})\b	Uppercase ASBCA; split lists.		Validate in ASBCA decision search.	ASBCA appeal namespace	public	A decision can dispose of multiple appeal numbers; contract number is a separate PIID.	asbca		high
adjudication.bva_citation_number	courts_adjudication	Board of Veterans' Appeals citation number	Department of Veterans Affairs	published Board decision	formal	candidate	current	Eight-digit publication citation number under explicit label	Citation Nr: 24012345 | Citation No. 21045678		(?i)\bCitation\s+(?:Nr|No)\.?\s*:\s*(?P<number>\d{8})\b	Preserve eight digits.	BVA decision header.	Resolve in VA BVA decision search.	BVA decision publication namespace	public	Not the veteran's claim/file number or Board docket number; person-linked decisions are redacted.	bva		high
adjudication.bva_docket	courts_adjudication	Board of Veterans' Appeals docket number	Department of Veterans Affairs	appeal	delegated	broad	current	Legacy and AMA-system docket forms	DOCKET NO. 20-12 345 | Docket No. 191234-56789		(?i)\bDocket\s+No\.?\s*(?P<docket>[0-9][0-9 -]{4,15})\b	Collapse repeated whitespace but preserve punctuation; retain raw.	BVA decision/appeal context.	Validate in source decision/VA system.	BVA docket namespace	sensitive	Legacy dockets contain spaces; modernized appeal systems use different structures. Do not confuse with citation number.	bva		high
adjudication.cbca_number	courts_adjudication	CBCA case/appeal number	Civilian Board of Contract Appeals	contract/grant/travel appeal	formal	candidate	current	CBCA + serial integer	CBCA 7123 | CBCA Nos. 7123, 7124		(?i)\bCBCA\s+(?:Nos?\.?\s*)?(?P<number>\d{3,6})\b	Uppercase CBCA; split lists.		Validate in CBCA docket/decisions.	CBCA case namespace	public	Case categories can be conveyed separately; not globally unique without CBCA namespace.	cbca		high
adjudication.eeoc_appeal	courts_adjudication	EEOC federal-sector appeal number	Equal Employment Opportunity Commission	administrative appeal	formal	candidate	current	Ten-digit appeal/request number under explicit label	EEOC Appeal No. 2020002285 | Request No. 0520240001		(?i)\b(?:EEOC\s+)?(?:Appeal|Request)\s+No\.?\s*(?P<number>\d{10})\b	Preserve ten digits.	Explicit EEOC Appeal/Request label.	Validate in EEOC federal-sector decisions.	EEOC appeal/request namespace	public	Appeal and request-for-reconsideration numbers can share shape; bare ten digits collide widely.	eeoc_appeals		high
adjudication.flra_case	courts_adjudication	FLRA case number	Federal Labor Relations Authority	administrative case	controlled	lookup	current	0-{case-type code}-{serial}	0-AR-1052 | 0-NG-123 | 0-MC-45		(?i)\b0-(?P<type>AR|NG|MC|PS|RP|CO|CU|CA|RA)-(?P<number>\d+)\b	Uppercase type.		Validate type/number in FLRA decision records; update controlled type list.	FLRA case namespace	public	Prefix list is observed and may not be exhaustive historically.	flra		high
adjudication.mspb_docket	courts_adjudication	MSPB docket number	Merit Systems Protection Board	administrative appeal	compound	heuristic	current	Regional office - action/legal code - FY/year - serial - case suffix - iteration	DC-0752-25-2535-I-1 | AT-1221-24-0123-W-1		(?i)\b[A-Z]{2}-\d{4}-\d{2}-\d{3,5}-[A-Z]{1,3}-\d+\b	Uppercase; preserve zero padding.		Validate every code segment against MSPB tables and docket search.	MSPB docket namespace	public	Legal/action and case-stage codes are controlled lists; mixed/historical formats occur. Regex only finds candidates.	mspb		high
adjudication.nlrb_case	courts_adjudication	NLRB case number	National Labor Relations Board	labor case	compound	heuristic	current	Regional office + case-type code + serial	22-CA-029179 | 01-RC-123456 | 10-CB-000123		(?i)\b(?P<region>\d{2})-(?P<type>[A-Z]{2,4})-(?P<serial>\d{5,6})\b	Uppercase type; preserve leading zeros.		Validate region/type/serial in NLRB case search.	NLRB case namespace	public	Case-type code list is extensive and changes; multiple related cases can be consolidated.	nlrb		high
adjudication.ocaho_case	courts_adjudication	OCAHO case number	DOJ Office of the Chief Administrative Hearing Officer	administrative case	historical	broad	current	Era-specific alphanumeric case number	2023A00069 | 93A00040 | 90100262 | 88S004A0		(?i)\b(?:\d{4}[A-Z]\d{5}|\d{2}[A-Z]\d{5}|\d{8}|\d{2}[A-Z]\d{3}[A-Z]\d)\b	Uppercase letters; preserve leading zeros.	OCAHO context.	Validate in OCAHO decision index.	OCAHO case namespace	public	Several historical grammars coexist; a permissive regex should be gated by OCAHO context.	ocaho | eoir		high
adjudication.ocaho_decision_reference	courts_adjudication	OCAHO decision reference number	DOJ OCAHO	published decision	platform	contextual	current	Sequential decision reference with optional letter suffix	1527a | 1420		(?i)\b(?P<number>\d{3,4})(?P<suffix>[a-z])?\b	Lowercase suffix as published.	OCAHO decision reference field.	Require OCAHO decision-reference field and validate in index.	OCAHO decision-reference namespace	public	Extremely generic without context; introduced/used as a publication reference rather than the case docket.	ocaho		high
court.appellate_docket	courts_adjudication	U.S. court of appeals docket number	Individual circuit court	appeal/petition	delegated	contextual	current	YY-sequence, court-scoped	24-1234 | No. 23-56789 | 24-1001, 24-1002		(?i)\b(?:No\.?\s*)?(?P<year>\d{2})-(?P<sequence>\d{3,5})\b	Normalize No. label and dash; preserve leading zeros.	Named circuit/appellate docket context.	Court identity is mandatory; validate in circuit docket/PACER.	circuit + docket number	public	Consolidated/cross-appeals list multiple numbers; agency petitions and original proceedings share the shape; SCOTUS regular dockets overlap.	pacer	courtlistener | juriscraper	high
court.bankruptcy_adversary	courts_adjudication	Bankruptcy adversary proceeding number	Individual U.S. bankruptcy court	adversary proceeding	delegated	heuristic	current	Court-local YY[-ap]-sequence	1:24-ap-01001 | 24-01001		(?i)\b(?:(?P<office>\d{1,2}):)?(?P<year>\d{2})(?:-ap)?-(?P<sequence>\d{4,7})(?:-(?P<initials>[A-Z]{1,6}))?\b	Preserve raw; explicitly tag adversary type.	Adversary proceeding context.	Validate in bankruptcy CM/ECF and link parent bankruptcy case when available.	bankruptcy court + adversary docket	public	When 'ap' is omitted, the number can be indistinguishable from the parent bankruptcy docket without page/context metadata.	pacer	courtlistener | juriscraper | recap	high
court.bankruptcy_case_number	courts_adjudication	U.S. bankruptcy court case number	Individual U.S. bankruptcy court	bankruptcy case	delegated	heuristic	current	Court-local YY[-bk]-sequence[-judge]	1:24-bk-12345 | 24-12345 | 24-12345-MFW		(?i)\b(?:(?P<office>\d{1,2}):)?(?P<year>\d{2})(?:-bk)?-(?P<sequence>\d{4,7})(?:-(?P<initials>[A-Z]{1,6}))?\b	Preserve raw; parse office/year/sequence/judge.	Bankruptcy/PACER context.	Require bankruptcy court identity and PACER validation.	bankruptcy court + local docket	public	Many courts omit 'bk'; lexical shape then collides with appeals, tax and other dockets. Joint/admin-consolidated cases have related numbers.	pacer | uscourts_case_numbers	courtlistener | juriscraper | recap	high
court.caaf_docket	courts_adjudication	Court of Appeals for the Armed Forces docket number	U.S. Court of Appeals for the Armed Forces	military appeal	formal	candidate	current	YY-four-digit serial / service code	No. 24-0140/AF | 23-0123/AR | 24-0001/MC		(?i)\b(?:No\.?\s*)?(?P<year>\d{2})-(?P<serial>\d{4})/(?P<service>AF|AR|MC|NA|CG|OT)\b	Uppercase service code.		Validate in CAAF docket.	CAAF docket namespace	public	Service suffix is integral; OT and future codes require list maintenance.	caaf		high
court.cavc_case	courts_adjudication	Court of Appeals for Veterans Claims docket number	U.S. Court of Appeals for Veterans Claims	appeal	formal	contextual	current	YY-serial; optional court annotation or consolidated list	23-1234 | 23-1234(E) | 23-1234/23-1300		(?i)\b(?P<year>\d{2})-(?P<serial>\d{4})(?:\((?P<annotation>[A-Z])\))?\b	Uppercase annotation; split slash-separated consolidated dockets.	Veterans Court context.	Validate in CAVC docket.	CAVC docket namespace	public	Consent/consolidation lists and annotations are not always part of canonical base docket.	cavc		high
court.cfc_case	courts_adjudication	Court of Federal Claims case number	U.S. Court of Federal Claims	case	formal	candidate	current	YY-serial + docket suffix letter(s)	23-123C | 03-654V | 20-100L		(?i)\b(?P<year>\d{2})-(?P<serial>\d{1,6})(?P<suffix>[A-Z]{1,2})\b	Uppercase suffix.		Validate in CFC docket; interpret suffix from court rules/system.	CFC docket namespace	public	V commonly marks vaccine cases; C/L/T and other suffixes reflect categories. Suffix is part of identity.	cfc		high
court.cit_case	courts_adjudication	Court of International Trade case number	U.S. Court of International Trade	case	formal	contextual	current	YY-five-digit serial (common modern form)	23-00123 | 24-00001		\b(?P<year>\d{2})-(?P<serial>\d{5})\b	Preserve zero padding.	Court of International Trade context.	Validate in CIT docket/case search.	CIT docket namespace	public	Lexically overlaps other court/agency dockets; older/historical formats may differ.	cit		high
court.cit_slip_opinion	courts_adjudication	Court of International Trade slip opinion number	U.S. Court of International Trade	slip opinion	formal	candidate	current	YY-serial or YYYY-serial with Slip Op. label	Slip Op. 24-12 | Slip Opinion 2024-45		(?i)\bSlip\s+Op(?:inion)?\.?\s*(?P<year>\d{2,4})-(?P<serial>\d{1,3})\b	Normalize year to four digits using publication date; preserve raw.		Validate against CIT opinions list.	CIT slip-opinion namespace	public	Not the case docket number; multiple opinions can issue in one case.	cit		high
court.district_case_number	courts_adjudication	U.S. district court CM/ECF case number	Individual U.S. district court	case	delegated	heuristic	current	[office:]YY-caseType-sequence[-judge initials]	1:24-cv-01234-ABC | 2:23-cr-00123-JDB | 24-mc-00010		(?i)\b(?:(?P<office>\d{1,2}):)?(?P<year>\d{2})[-:](?P<type>cv|cr|mc|mj|md|po)[-:](?P<sequence>\d{1,7})(?:-(?P<initials>[A-Z]{1,6}))?\b	Normalize separators only into parsed fields; preserve court display string and zero padding.	Federal court/docket context.	Court identity is mandatory; validate against PACER/CM-ECF/local court.	court + full local docket	public	Office/division prefix, judge initials, reassignment suffixes and local case-type codes vary. The same short docket can exist in many courts.	pacer | uscourts_case_numbers	courtlistener | juriscraper | recap	high
court.ecf_document_number	courts_adjudication	CM/ECF docket-entry/document number	Individual federal court	docket entry/document	local	contextual	current	Integer docket entry; optional attachment suffix	ECF No. 123 | Dkt. 45 | Doc. 17-1		(?i)\b(?:ECF|Dkt\.?|Docket\s+Entry|Doc\.?)\s*(?:No\.?\s*)?(?P<entry>\d+)(?:-(?P<attachment>\d+))?\b	Store entry and attachment separately.	Docket filing context.	Resolve within court case docket.	court + case docket + entry + attachment	mixed	Docket-entry numbers restart in every case; attachment 123-1 is not case 123-1. Sealed/restricted entries may be absent or renumbered in exports.	pacer	recap | courtlistener	high
court.federal_circuit_appeal	courts_adjudication	Federal Circuit appeal number	U.S. Court of Appeals for the Federal Circuit	appeal	formal	contextual	current	Four-digit year + hyphen + four-digit serial	2024-1234 | 2023-5678		\b(?P<year>\d{4})-(?P<serial>\d{4})\b	Preserve zero padding.	Federal Circuit context.	Validate in Federal Circuit docket/opinion data.	Federal Circuit docket namespace	public	Different from the two-digit docket style of regional circuits; agency case numbers may be cross-referenced.	cafc		high
court.fisc_docket	courts_adjudication	Foreign Intelligence Surveillance Court docket identifier	FISC/FISCR	case/matter	controlled	broad	current	Court-specific proceeding prefix + YY-NN	Misc. 19-02 | BR 14-01 | FISCR Misc. 20-02 | 105B(g) 07-01		(?i)\b(?:(?:FISCR\s+)?Misc\.?|BR|105B\(g\))\s+(?P<year>\d{2})-(?P<serial>\d{2})\b	Uppercase controlled prefix; preserve legal subsection punctuation.		Validate against public filing index.	FISC/FISCR + proceeding class + docket	mixed	Only a public subset is visible; prefix set is not necessarily exhaustive and classified matters may never be published.	fisc		high
court.jpml_mcp	courts_adjudication	JPML multicircuit petition number	JPML	multicircuit petition	formal	candidate	current	MCP + serial integer	MCP No. 185		(?i)\bMCP\s*(?:No\.?\s*)?(?P<number>\d{1,4})\b	Uppercase MCP.		Validate with JPML.	JPML MCP namespace	public	Distinct from MDL; relatively uncommon.	jpml		high
court.jpml_mdl	courts_adjudication	Judicial Panel on Multidistrict Litigation MDL number	JPML	multidistrict litigation	formal	candidate	current	MDL + serial integer	MDL No. 3080 | MDL 2741		(?i)\bMDL\s*(?:No\.?\s*)?(?P<number>\d{1,4})\b	Uppercase MDL; integer number.		Validate in JPML docket list; link constituent district case numbers.	JPML MDL namespace	public	MDL number identifies centralized proceeding, not every transferred civil action; district docket may include 'md'.	jpml		high
court.pacer_court_code	courts_adjudication	PACER/CM‑ECF court identifier	Administrative Office of the U.S. Courts	court/system	controlled	lookup	current	Short lowercase court/system code	nysd | cacd | ca2 | uscfc		^[a-z][a-z0-9]{2,10}$	Lowercase.	PACER URL/API/field.	Lookup PACER court list; maintain active/legacy aliases.	PACER court namespace	public	Codes are platform identifiers, not official court names; appellate/district/bankruptcy codes can follow different conventions.	pacer	courtlistener | recap	high
court.scotus_application	courts_adjudication	Supreme Court emergency/application docket number	Supreme Court of the United States	application	formal	candidate	current	Two-digit Term + A + serial	23A123 | 24A1		\b(?P<term>\d{2})A(?P<serial>\d{1,4})\b	Uppercase A.		Validate in Supreme Court docket/application search.	SCOTUS application namespace	public	Applications can later relate to a merits docket but retain their own A-number.	scotus_docket		high
court.scotus_docket	courts_adjudication	Supreme Court merits/petition docket number	Supreme Court of the United States	case/petition	formal	contextual	current	Two-digit Term prefix + hyphen + serial	23-1234 | 24-1		\b(?P<term>\d{2})-(?P<serial>\d{1,5})\b	Preserve leading zeros if printed.	Supreme Court/docket context.	Validate in Supreme Court docket search and distinguish application/original dockets.	SCOTUS docket namespace	public	Shape overlaps circuit dockets; docket prefix generally reflects Term, not filing calendar year in all circumstances.	scotus_docket		high
court.scotus_original	courts_adjudication	Supreme Court original-jurisdiction docket number	Supreme Court of the United States	original action	formal	candidate	current	Two-digit Term + letter O + serial	22O155 | 21O158		\b(?P<term>\d{2})O(?P<serial>\d{1,4})\b	Uppercase letter O; never normalize to zero.		Validate in Supreme Court docket.	SCOTUS original docket namespace	public	OCR commonly confuses O with 0; original cases can remain open across Terms.	scotus_docket		high
court.service_cca_docket	courts_adjudication	Military service Court of Criminal Appeals docket identifier	Army/Navy-Marine/Air Force/Coast Guard CCAs	military appeal	delegated	none	current	Service-court-local series	S32835 | No. 12345 | Misc. Dkt. No. 2026-06 | ACM 40001			Preserve raw and service court.		Use service court docket/opinion index.	service court + local docket	public	No single inter-service grammar: summary/regular/miscellaneous cases use different prefixes, bare serials and year-number forms; rehearing annotations are not base IDs.	caaf		high
court.tax_court_docket	courts_adjudication	U.S. Tax Court docket number	U.S. Tax Court	tax case	formal	contextual	current	serial-YY + optional proceeding suffix	12345-24 | 12345-24S | 12345-24L | 12345-24SL | 12345-24P		(?i)\b(?P<serial>\d{1,7})-(?P<year>\d{2})(?P<suffix>SL|S|L|R|X|D|P)?\b	Uppercase suffix.		Validate in DAWSON; interpret suffix using current Tax Court docket types.	Tax Court docket namespace	public	Suffixes distinguish small-tax, lien/levy, passport and other proceedings; combinations such as SL must be matched before S/L.	taxcourt		high
govinfo.uscourts.granule	courts_adjudication	GovInfo U.S. Courts opinion granule ID	GPO	opinion/order granule	platform	candidate	current	USCOURTS package ID + sequence	USCOURTS-ca1-23-1234-0 | USCOURTS-dcd-1_24-cv-01234-1		(?i)^USCOURTS-[a-z0-9]+-[A-Za-z0-9._-]+-(?P<sequence>\d+)$	Preserve exact ID.		Resolve within package granule list.	GovInfo package + granule sequence	public	Trailing sequence is publication granule order, not necessarily ECF document number.	govinfo_uscourts | govinfo_api		high
govinfo.uscourts.package	courts_adjudication	GovInfo U.S. Courts opinion package ID	GPO / contributing federal court	opinion package	platform	broad	current	USCOURTS-{court code}-{case number with colons encoded as underscores}	USCOURTS-ca1-23-1234 | USCOURTS-dcd-1_24-cv-01234		(?i)^USCOURTS-(?P<court>[a-z0-9]+)-(?P<case>[A-Za-z0-9._-]+)$	Preserve court code; decode underscores to colons only with GovInfo metadata.		Dereference GovInfo package and compare court/case metadata.	GovInfo package namespace	public	Court-local case numbering remains underneath; underscores can represent colons, and short display numbers may omit office/type/zero padding.	govinfo_uscourts | govinfo_api	usgpo_bulk_data	high
legal.bankruptcy_reporter	courts_adjudication	Bankruptcy Reporter citation	Commercial publisher / bankruptcy courts	opinion citation	vendor	candidate	current	volume B.R. page	650 B.R. 123		(?i)\b(?P<volume>\d+)\s+B\.?\s*R\.?\s+(?P<page>\d+)\b	Normalize B.R.		Resolve reporter/court/date.	reporter + volume + page	public	B.R. can be textually ambiguous without legal context; docket and court remain separate identifiers.		eyecite | reporters_db	high
legal.case_citation_generic	courts_adjudication	American case citation (generic parsed object)	Courts/publishers	opinion citation	citation_language	none	current	Full, short, supra, id., neutral and parallel citation structures	Bush v. Gore, 531 U.S. 98, 100 (2000) | 531 U.S., at 99 | Id. at 101			Use a legal citation parser; preserve spans and antecedent relations.		Resolve against reporter database and court/opinion corpus; regex alone is insufficient.	resolved opinion resource + citation instance	public	Reporter ambiguity, nominative reports, parallel citations, pin cites, short forms, id./supra, OCR and HTML boundaries require stateful parsing.	wikidata_props	eyecite | reporters_db | courtlistener	high
legal.federal_appendix	courts_adjudication	Federal Appendix citation	Commercial publisher / federal courts	unpublished appellate opinion citation	vendor	candidate	legacy_closed_series	volume F. App'x page	999 F. App'x 123 | 999 F. Appx. 123		(?i)\b(?P<volume>\d+)\s+F\.?\s*App(?:'|’)?x\.?\s+(?P<page>\d+)\b	Normalize to F. App'x.		Resolve through reporter database.	reporter + volume + page	public	Apostrophe/typographic/OCR variants are common; series publication ended but historical citations persist.		eyecite | reporters_db	high
legal.federal_claims_reporter	courts_adjudication	Federal Claims/Court of Claims reporter citation	Commercial publisher / federal claims courts	opinion citation	vendor	candidate	current	volume Fed. Cl./Ct. Cl. page	150 Fed. Cl. 123 | 300 Ct. Cl. 1		(?i)\b(?P<volume>\d+)\s+(?P<reporter>Fed\.?\s*Cl\.?|Ct\.?\s*Cl\.?)\s+(?P<page>\d+)\b	Normalize reporter and distinguish Fed. Cl. from Ct. Cl.		Resolve reporter date/court.	reporter edition + volume + page	public	Historical court reorganizations make reporter/date important.		eyecite | reporters_db	high
legal.federal_reporter	courts_adjudication	Federal Reporter citation	Commercial publisher / federal courts	court of appeals opinion citation	vendor	candidate	current	volume F.[2d|3d|4th] first-page	999 F.3d 123 | 12 F.4th 345 | 100 F.2d 1		(?i)\b(?P<volume>\d+)\s+F\.?\s*(?P<series>2d|3d|4th)\s+(?P<page>\d+)\b	Normalize series abbreviation.		Resolve reporter edition/date/court using reporter database.	reporter edition + volume + first page	public	Reporter abbreviations have OCR/spacing variants; unpublished opinions may instead use F. App'x or electronic cites.		eyecite | reporters_db	high
legal.federal_supplement	courts_adjudication	Federal Supplement citation	Commercial publisher / U.S. district courts	district court opinion citation	vendor	candidate	current	volume F. Supp. [2d|3d] page	500 F. Supp. 3d 100 | 123 F.Supp.2d 45 | 10 F. Supp. 1		(?i)\b(?P<volume>\d+)\s+F\.?\s*Supp\.?\s*(?P<series>2d|3d)?\s+(?P<page>\d+)\b	Normalize reporter/series.		Resolve through reporter database.	reporter edition + volume + first page	public	District court orders often have no reporter cite; vendor electronic cites and slip dockets are common.		eyecite | reporters_db	high
legal.flra_citation	courts_adjudication	FLRA decision citation	Federal Labor Relations Authority	published decision	formal	candidate	current	Volume FLRA page or No. decision	23 FLRA No. 4 | 72 FLRA 123		(?i)\b(?P<volume>\d{1,3})\s+FLRA\s+(?:(?:No\.?\s*)?(?P<number>\d+)|(?P<page>\d+))\b	Normalize reporter to FLRA.		Resolve through FLRA decisions; distinguish page and numbered online forms.	FLRA reporter + volume + locator	public	Citation is publication locator, not underlying case docket; one decision can address multiple cases.	flra	eyecite | reporters_db	high
legal.nlrb_citation	courts_adjudication	NLRB decision citation	National Labor Relations Board	published decision	formal	candidate	current	Volume NLRB No./page locator	375 NLRB No. 32 | 350 NLRB 123		(?i)\b(?P<volume>\d{1,3})\s+NLRB\s+(?:(?:No\.?\s*)?(?P<number>\d+)|(?P<page>\d+))\b	Normalize reporter to NLRB.		Resolve decision and docket crosswalk.	NLRB reporter + volume + locator	public	Online decision number and bound-volume page styles coexist.	nlrb	eyecite | reporters_db	high
legal.supreme_court_reporter	courts_adjudication	Supreme Court Reporter citation	Commercial publisher	published opinion citation	vendor	candidate	current	volume S. Ct. page	141 S. Ct. 123 | 141 S.Ct. 123		(?i)\b\d{1,3}\s+S\.?\s*Ct\.?\s+\d+\b	Normalize reporter abbreviation.		Resolve with reporter database; treat as secondary/vendor citation.	reporter edition + volume + page	public	Not a government-issued identifier; parallel to U.S. Reports/L. Ed.	wikidata_props	eyecite | reporters_db	high
legal.tax_court_reporter	courts_adjudication	Tax Court reporter citation	U.S. Tax Court / publishers	opinion citation	formal	broad	current	Reporter-specific volume/page or memorandum citation	160 T.C. 1 | 123 T.C.M. (CCH) 1000		(?i)\b(?P<volume>\d+)\s+T\.?\s*C\.?\s+(?P<page>\d+)\b	Normalize T.C.; handle memorandum reporters with reporter database.		Resolve against Tax Court opinion data.	reporter series + volume/decision locator	public	T.C., T.C. Memo., T.C.M. and summary opinions are distinct publication families.	taxcourt	eyecite | reporters_db	high
legal.us_reports	courts_adjudication	United States Reports citation	Supreme Court of the United States / GPO	published opinion	formal	candidate	current	volume U.S. first-page	531 U.S. 98 | 1 U. S. 2		(?i)\b(?P<volume>\d{1,3})\s+U\.?\s*S\.?\s+(?P<page>\d+)\b	Normalize reporter to U.S.		Resolve volume/page and distinguish pin cites.	reporter edition + volume + first page	public	Early nominative reports have parallel citations; slip opinions initially lack final U.S. Reports pagination.	scotus_docket	eyecite | reporters_db	high
legal.veterans_appeals_reporter	courts_adjudication	Veterans Appeals Reporter citation	U.S. Court of Appeals for Veterans Claims / publisher	opinion citation	vendor	candidate	current	volume Vet. App. page	30 Vet. App. 123		(?i)\b(?P<volume>\d+)\s+Vet\.?\s*App\.?\s+(?P<page>\d+)\b	Normalize Vet. App.		Resolve through reporter/court data.	reporter + volume + page	public	Distinct from Board of Veterans' Appeals citation numbers.	cavc	eyecite | reporters_db	high
credential.dea_registration	identity_immigration_health	DEA registration number	Drug Enforcement Administration	controlled-substance registrant	formal	broad	current	Common current/legacy form: two letters + seven digits, final checksum digit	AB1234563 | FA1234563		\b[A-Z]{2}\d{7}\b	Uppercase.	DEA/prescriber/controlled-substance context.	Apply DEA checksum candidate test and authoritative registration verification; account for business/organizational registrants.	DEA registration namespace	sensitive	Second letter historically related to registrant name but should not be treated as a hard validator; registrant-type prefixes evolve. Sensitive professional credential.	dea		medium
credential.piv_card_uuid	identity_immigration_health	PIV Card UUID	Federal PIV issuer	credential/card	formal	contextual	current	RFC 4122-style UUID stored in PIV card data	550e8400-e29b-41d4-a716-446655440000		\b[0-9a-fA-F]{8}-[0-9a-fA-F]{4}-[1-5][0-9a-fA-F]{3}-[89abAB][0-9a-fA-F]{3}-[0-9a-fA-F]{12}\b	Lowercase canonical UUID.	PIV CHUID/certificate field.	Require PIV credential context; validate certificate/card data.	PIV issuer + card UUID	sensitive	Generic UUID collision: never classify a UUID as PIV from shape alone. Card UUID can change on replacement.	piv		high
credential.piv_fascn	identity_immigration_health	PIV FASC‑N	Federal PIV issuer	credential/card holder reference	compound	none	current	Structured Federal Agency Smart Credential Number fields	FASC-N			Parse agency/system/credential/person-association fields according to FIPS 201.	PIV credential data.	Validate field-level encoding and issuer.	issuer + FASC-N fields + credential lifecycle	sensitive	FIPS 201-3 discourages relying on FASC-N as the sole identifier; uniqueness is not universal outside the Executive Branch/PIV-I, and replacement/reissuance matters.	piv		high
fda.510k_number	identity_immigration_health	510(k) premarket notification number	FDA	medical-device clearance	formal	candidate	current	K + six digits	K123456 | K240001		\bK\d{6}\b	Uppercase K.		Lookup FDA 510(k) database.	FDA 510(k) namespace	public	The first two digits commonly encode year but century/history requires database logic; K-number is not a product model number.	fda_devices		high
fda.application_number	identity_immigration_health	FDA drug/biologic application number	FDA	NDA/ANDA/BLA application	formal	candidate	current	Application-type label + generally six-digit application number	NDA 021436 | ANDA 090123 | BLA 125742		(?i)\b(?P<type>NDA|ANDA|BLA)\s*(?:No\.?\s*)?(?P<number>\d{6})\b	Uppercase type; preserve six digits.	FDA application context.	Lookup Drugs@FDA/biologics application data.	application type + application number	public	Application number alone can collide across types; BLA numbering and legacy records have historical nuances. Product numbers/supplements are separate.	fda_applications		high
fda.denovo_number	identity_immigration_health	De Novo classification request number	FDA	medical-device classification request	formal	candidate	current	DEN + six digits	DEN200001		\bDEN\d{6}\b	Uppercase DEN.		Lookup FDA De Novo database.	FDA De Novo namespace	public	Older records and decision numbers may appear with spaces/punctuation; do not confuse with docket IDs.	fda_devices		high
